ST|ZIPCODE|GEO_ID|GEO_TTL|FOOTID_GEO|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|YEAR|ESTAB|ESTAB_F|EMP|EMP_F|EMP_N|EMP_N_F|PAYQTR1|PAYQTR1_F|PAYQTR1_N|PAYQTR1_N_F|PAYANN|PAYANN_F|PAYANN_N|PAYANN_N_F
01|35058|8610000US35058|35058(CULLMAN,AL)||00|Total for all sectors||2012|205||3063||0|G|26381||0|G|108200||0|G
01|35060|8610000US35060|35060(DOCENA,AL)||00|Total for all sectors||2012|3||0|b|0|D|0|D|0|D|0|D|0|D
01|35061|8610000US35061|35061(DOLOMITE,AL)||00|Total for all sectors||2012|28||252||0|H|2678||0|H|11121||0|H
01|35062|8610000US35062|35062(DORA,AL)||00|Total for all sectors||2012|77||583||0|G|4148||0|G|17388||0|G
01|35063|8610000US35063|35063(EMPIRE,AL)||00|Total for all sectors||2012|18||66||0|G|296||0|G|1082||0|G
01|35064|8610000US35064|35064(FAIRFIELD,AL)||00|Total for all sectors||2012|167||5008||0|H|65974||0|H|266094||0|H
01|35068|8610000US35068|35068(FULTONDALE,AL)||00|Total for all sectors||2012|142||2109||0|G|11869||0|G|46790||0|G
01|35070|8610000US35070|35070(GARDEN CITY,AL)||00|Total for all sectors||2012|6||14||0|G|64||0|H|253||0|H
01|35071|8610000US35071|35071(GARDENDALE,AL)||00|Total for all sectors||2012|363||4192||0|G|29973||0|G|123085||0|G
01|35072|8610000US35072|35072(GOODWATER,AL)||00|Total for all sectors||2012|39||609||0|G|4866||0|G|20726||0|G
01|35073|8610000US35073|35073(GRAYSVILLE,AL)||00|Total for all sectors||2012|41||379||0|H|2622||0|G|10631||0|G
01|35074|8610000US35074|35074(GREEN POND,AL)||00|Total for all sectors||2012|5||92||0|G|545||0|G|2163||0|G
01|35077|8610000US35077|35077(HANCEVILLE,AL)||00|Total for all sectors||2012|191||2282||0|G|18049||0|G|73682||0|G
01|35078|8610000US35078|35078(HARPERSVILLE,AL)||00|Total for all sectors||2012|43||260||0|G|1718||0|G|6372||0|G
01|35079|8610000US35079|35079(HAYDEN,AL)||00|Total for all sectors||2012|47||265||0|G|1632||0|G|6441||0|G
01|35080|8610000US35080|35080(HELENA,AL)||00|Total for all sectors||2012|209||1701||0|G|16188||0|G|68747||0|G
01|35082|8610000US35082|35082(HOLLINS,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35083|8610000US35083|35083(HOLLY POND,AL)||00|Total for all sectors||2012|30||261||0|H|1827||0|H|8095||0|H
01|35085|8610000US35085|35085(JEMISON,AL)||00|Total for all sectors||2012|114||720||0|G|4016||0|G|17749||0|G
01|35087|8610000US35087|35087(JOPPA,AL)||00|Total for all sectors||2012|17||95||0|G|437||0|G|1860||0|G
01|35089|8610000US35089|35089(KELLYTON,AL)||00|Total for all sectors||2012|16||112||0|G|953||0|G|3461||0|G
01|35091|8610000US35091|35091(KIMBERLY,AL)||00|Total for all sectors||2012|13||45||0|G|248||0|G|1102||0|G
01|35094|8610000US35094|35094(LEEDS,AL)||00|Total for all sectors||2012|346||3905||0|G|29590||0|G|120440||0|G
01|35096|8610000US35096|35096(LINCOLN,AL)||00|Total for all sectors||2012|127||5436||0|G|73291||0|G|317764||0|G
01|35097|8610000US35097|35097(LOCUST FORK,AL)||00|Total for all sectors||2012|19||138||0|G|563||0|G|2117||0|G
01|35098|8610000US35098|35098(LOGAN,AL)||00|Total for all sectors||2012|7||35||0|G|108||0|G|426||0|G
01|35111|8610000US35111|35111(MC CALLA,AL)||00|Total for all sectors||2012|178||3447||0|G|25828||0|G|121533||0|G
01|35112|8610000US35112|35112(MARGARET,AL)||00|Total for all sectors||2012|4||9||0|G|51||0|G|147||0|G
01|35114|8610000US35114|35114(MAYLENE,AL)||00|Total for all sectors||2012|34||0|c|0|S|706||0|G|3110||0|G
01|35115|8610000US35115|35115(MONTEVALLO,AL)||00|Total for all sectors||2012|161||1437||0|G|9755||0|G|41187||0|G
01|35116|8610000US35116|35116(MORRIS,AL)||00|Total for all sectors||2012|41||234||0|G|2166||0|G|8926||0|G
01|35117|8610000US35117|35117(MOUNT OLIVE,AL)||00|Total for all sectors||2012|55||304||0|H|1719||0|G|7224||0|G
01|35118|8610000US35118|35118(MULGA,AL)||00|Total for all sectors||2012|32||275||0|G|2149||0|G|8586||0|G
01|35119|8610000US35119|35119(NEW CASTLE,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35120|8610000US35120|35120(ODENVILLE,AL)||00|Total for all sectors||2012|108||548||0|G|3250||0|G|14718||0|G
01|35121|8610000US35121|35121(ONEONTA,AL)||00|Total for all sectors||2012|317||3630||0|G|25420||0|G|115489||0|G
01|35123|8610000US35123|35123(PALMERDALE,AL)||00|Total for all sectors||2012|3||25||0|G|69||0|G|305||0|G
01|35124|8610000US35124|35124(PELHAM,AL)||00|Total for all sectors||2012|1025||14270||0|G|127633||0|G|520002||0|G
01|35125|8610000US35125|35125(PELL CITY,AL)||00|Total for all sectors||2012|330||5892||0|G|42478||0|G|178822||0|G
01|35126|8610000US35126|35126(PINSON,AL)||00|Total for all sectors||2012|215||1721||0|G|11142||0|G|47717||0|G
01|35127|8610000US35127|35127(PLEASANT GROVE,AL)||00|Total for all sectors||2012|71||683||0|G|3891||0|H|15937||0|H
01|35128|8610000US35128|35128(PELL CITY,AL)||00|Total for all sectors||2012|148||1386||0|G|11140||0|G|46859||0|G
01|35130|8610000US35130|35130(QUINTON,AL)||00|Total for all sectors||2012|25||592||0|H|13217||0|H|40922||0|H
01|35131|8610000US35131|35131(RAGLAND,AL)||00|Total for all sectors||2012|32||290||0|G|2825||0|H|11887||0|G
01|35133|8610000US35133|35133(REMLAP,AL)||00|Total for all sectors||2012|36||265||0|G|1621||0|H|6682||0|G
01|35135|8610000US35135|35135(RIVERSIDE,AL)||00|Total for all sectors||2012|18||124||0|H|376||0|G|1581||0|G
01|35136|8610000US35136|35136(ROCKFORD,AL)||00|Total for all sectors||2012|27||63||0|G|495||0|G|1944||0|G
01|35137|8610000US35137|35137(SAGINAW,AL)||00|Total for all sectors||2012|12||437||0|G|5701||0|G|24721||0|G
01|35142|8610000US35142|35142(SHANNON,AL)||00|Total for all sectors||2012|6||43||0|H|0|S|0|S|1214||0|H
01|35143|8610000US35143|35143(SHELBY,AL)||00|Total for all sectors||2012|30||142||0|G|1117||0|G|4960||0|G
01|35146|8610000US35146|35146(SPRINGVILLE,AL)||00|Total for all sectors||2012|140||1039||0|H|6311||0|G|26727||0|G
01|35147|8610000US35147|35147(STERRETT,AL)||00|Total for all sectors||2012|57||364||0|H|2894||0|H|12326||0|H
01|35148|8610000US35148|35148(SUMITON,AL)||00|Total for all sectors||2012|88||1035||0|H|5642||0|H|23414||0|H
01|35149|8610000US35149|35149(SYCAMORE,AL)||00|Total for all sectors||2012|6||0|c|0|D|0|D|0|D|0|D|0|D
01|35150|8610000US35150|35150(SYLACAUGA,AL)||00|Total for all sectors||2012|431||6810||0|H|61937||0|H|243748||0|H
01|35151|8610000US35151|35151(SYLACAUGA,AL)||00|Total for all sectors||2012|72||1085||0|G|7254||0|G|34938||0|G
01|35160|8610000US35160|35160(TALLADEGA,AL)||00|Total for all sectors||2012|358||5601||0|G|40378||0|G|189269||0|G
01|35161|8610000US35161|35161(TALLADEGA,AL)||00|Total for all sectors||2012|23||750||0|H|6532||0|H|25060||0|H
01|35171|8610000US35171|35171(THORSBY,AL)||00|Total for all sectors||2012|41||547||0|H|4898||0|H|19938||0|H
01|35172|8610000US35172|35172(TRAFFORD,AL)||00|Total for all sectors||2012|23||184||0|G|1578||0|H|6381||0|H
01|35173|8610000US35173|35173(TRUSSVILLE,AL)||00|Total for all sectors||2012|579||6632||0|G|55506||0|G|231650||0|G
01|35175|8610000US35175|35175(UNION GROVE,AL)||00|Total for all sectors||2012|33||304||0|G|2214||0|H|10377||0|H
01|35176|8610000US35176|35176(VANDIVER,AL)||00|Total for all sectors||2012|9||52||0|G|361||0|G|1622||0|H
01|35178|8610000US35178|35178(VINCENT,AL)||00|Total for all sectors||2012|27||379||0|G|3971||0|G|14597||0|G
01|35179|8610000US35179|35179(VINEMONT,AL)||00|Total for all sectors||2012|96||819||0|G|6047||0|G|26818||0|G
01|35180|8610000US35180|35180(WARRIOR,AL)||00|Total for all sectors||2012|171||1628||0|G|11916||0|G|50336||0|G
01|35182|8610000US35182|35182(WATTSVILLE,AL)||00|Total for all sectors||2012|1||0|a|0|D|0|D|0|D|0|D|0|D
01|35183|8610000US35183|35183(WEOGUFKA,AL)||00|Total for all sectors||2012|3||4||0|G|24||0|G|93||0|G
01|35184|8610000US35184|35184(WEST BLOCTON,AL)||00|Total for all sectors||2012|30||104||0|G|786||0|G|3323||0|G
01|35185|8610000US35185|35185(WESTOVER,AL)||00|Total for all sectors||2012|7||23||0|H|186||0|G|892||0|G
01|35186|8610000US35186|35186(WILSONVILLE,AL)||00|Total for all sectors||2012|56||0|f|0|D|0|D|0|D|0|D|0|D
01|35187|8610000US35187|35187(WILTON,AL)||00|Total for all sectors||2012|5||0|b|0|D|0|D|0|D|0|D|0|D
01|35188|8610000US35188|35188(WOODSTOCK,AL)||00|Total for all sectors||2012|61||396||0|G|2810||0|G|11477||0|G
01|35201|8610000US35201|35201(BIRMINGHAM,AL)||00|Total for all sectors||2012|28||0|g|0|D|0|D|0|D|0|D|0|D
01|35202|8610000US35202|35202(BIRMINGHAM,AL)||00|Total for all sectors||2012|44||699||0|H|6821||0|H|25478||0|H
01|35203|8610000US35203|35203(BIRMINGHAM,AL)||00|Total for all sectors||2012|925||23099||0|G|443670||0|G|1526586||0|G
01|35204|8610000US35204|35204(BIRMINGHAM,AL)||00|Total for all sectors||2012|196||4409||0|G|27453||0|G|122769||0|G
01|35205|8610000US35205|35205(BIRMINGHAM,AL)||00|Total for all sectors||2012|621||14199||0|G|148630||0|G|654064||0|G
01|35206|8610000US35206|35206(BIRMINGHAM,AL)||00|Total for all sectors||2012|211||2198||0|G|13273||0|G|53360||0|G
01|35207|8610000US35207|35207(BIRMINGHAM,AL)||00|Total for all sectors||2012|117||4451||0|G|49970||0|G|243602||0|G
01|35208|8610000US35208|35208(BIRMINGHAM,AL)||00|Total for all sectors||2012|164||1591||0|G|11132||0|G|39046||0|G
01|35209|8610000US35209|35209(BIRMINGHAM,AL)||00|Total for all sectors||2012|1772||40052||0|G|479069||0|G|1967448||0|G
01|35210|8610000US35210|35210(BIRMINGHAM,AL)||00|Total for all sectors||2012|642||12619||0|G|131272||0|G|603157||0|G
01|35211|8610000US35211|35211(BIRMINGHAM,AL)||00|Total for all sectors||2012|384||11435||0|G|144007||0|G|571205||0|G
01|35212|8610000US35212|35212(BIRMINGHAM,AL)||00|Total for all sectors||2012|188||3492||0|G|36836||0|G|147411||0|G
01|35213|8610000US35213|35213(BIRMINGHAM,AL)||00|Total for all sectors||2012|313||5159||0|H|52503||0|H|210394||0|H
01|35214|8610000US35214|35214(BIRMINGHAM,AL)||00|Total for all sectors||2012|240||4518||0|G|37061||0|H|157255||0|H
01|35215|8610000US35215|35215(BIRMINGHAM,AL)||00|Total for all sectors||2012|483||6517||0|G|49935||0|G|211578||0|G
01|35216|8610000US35216|35216(BIRMINGHAM,AL)||00|Total for all sectors||2012|1041||13714||0|G|128761||0|G|548032||0|G
01|35217|8610000US35217|35217(BIRMINGHAM,AL)||00|Total for all sectors||2012|346||7976||0|G|95291||0|G|370010||0|G
01|35218|8610000US35218|35218(BIRMINGHAM,AL)||00|Total for all sectors||2012|98||1434||0|G|12506||0|G|55570||0|H
01|35219|8610000US35219|35219(BIRMINGHAM,AL)||00|Total for all sectors||2012|15||321||0|G|4093||0|G|17330||0|G
01|35220|8610000US35220|35220(BIRMINGHAM,AL)||00|Total for all sectors||2012|8||89||0|H|482||0|G|1634||0|G
01|35221|8610000US35221|35221(BIRMINGHAM,AL)||00|Total for all sectors||2012|32||763||0|G|9143||0|G|35311||0|G
01|35222|8610000US35222|35222(BIRMINGHAM,AL)||00|Total for all sectors||2012|372||7189||0|G|86998||0|G|333479||0|G
01|35223|8610000US35223|35223(BIRMINGHAM,AL)||00|Total for all sectors||2012|488||7592||0|G|133255||0|G|438963||0|G
01|35224|8610000US35224|35224(BIRMINGHAM,AL)||00|Total for all sectors||2012|41||437||0|G|3631||0|G|14670||0|G
01|35226|8610000US35226|35226(BIRMINGHAM,AL)||00|Total for all sectors||2012|440||4569||0|H|30092||0|H|127326||0|H
01|35228|8610000US35228|35228(BIRMINGHAM,AL)||00|Total for all sectors||2012|104||1080||0|G|6190||0|G|24542||0|G
01|35229|8610000US35229|35229(BIRMINGHAM,AL)||00|Total for all sectors||2012|4||0|g|0|D|0|D|0|D|0|D|0|D
01|35231|8610000US35231|35231(BIRMINGHAM,AL)||00|Total for all sectors||2012|5||23||0|G|119||0|G|459||0|G
01|35232|8610000US35232|35232(BIRMINGHAM,AL)||00|Total for all sectors||2012|15||89||0|G|916||0|G|3997||0|G
01|35233|8610000US35233|35233(BIRMINGHAM,AL)||00|Total for all sectors||2012|539||24360||0|G|411873||0|G|1648433||0|G
01|35234|8610000US35234|35234(BIRMINGHAM,AL)||00|Total for all sectors||2012|158||3490||0|G|39486||0|G|167188||0|G
01|35235|8610000US35235|35235(BIRMINGHAM,AL)||00|Total for all sectors||2012|507||8975||0|G|72877||0|G|311511||0|G
01|35236|8610000US35236|35236(BIRMINGHAM,AL)||00|Total for all sectors||2012|23||235||0|G|1600||0|G|5153||0|G
01|35237|8610000US35237|35237(BIRMINGHAM,AL)||00|Total for all sectors||2012|1||0|a|0|D|0|D|0|D|0|D|0|D
01|35238|8610000US35238|35238(BIRMINGHAM,AL)||00|Total for all sectors||2012|25||0|c|0|D|0|D|0|D|0|D|0|D
01|35242|8610000US35242|35242(BIRMINGHAM,AL)||00|Total for all sectors||2012|1449||23956||0|G|325495||0|G|1300072||0|G
01|35243|8610000US35243|35243(BIRMINGHAM,AL)||00|Total for all sectors||2012|944||21296||0|G|307326||0|G|1166248||0|G
01|35244|8610000US35244|35244(BIRMINGHAM,AL)||00|Total for all sectors||2012|1389||30515||0|G|369920||0|G|1485236||0|G
01|35246|8610000US35246|35246(BIRMINGHAM,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35249|8610000US35249|35249(BIRMINGHAM,AL)||00|Total for all sectors||2012|5||0|b|0|D|0|D|0|D|0|D|0|D
01|35253|8610000US35253|35253(BIRMINGHAM,AL)||00|Total for all sectors||2012|15||187||0|G|2747||0|G|9448||0|G
01|35254|8610000US35254|35254(BIRMINGHAM,AL)||00|Total for all sectors||2012|3||472||0|G|3914||0|G|16056||0|G
01|35255|8610000US35255|35255(BIRMINGHAM,AL)||00|Total for all sectors||2012|12||139||0|H|0|S|0|S|8270||0|H
01|35259|8610000US35259|35259(BIRMINGHAM,AL)||00|Total for all sectors||2012|12||35||0|G|174||0|G|885||0|G
01|35260|8610000US35260|35260(BIRMINGHAM,AL)||00|Total for all sectors||2012|7||24||0|G|122||0|G|566||0|G
01|35261|8610000US35261|35261(BIRMINGHAM,AL)||00|Total for all sectors||2012|10||0|b|0|S|592||0|H|2197||0|H
01|35266|8610000US35266|35266(BIRMINGHAM,AL)||00|Total for all sectors||2012|16||76||0|G|1723||0|H|8094||0|H
01|35285|8610000US35285|35285(BIRMINGHAM,AL)||00|Total for all sectors||2012|4||0|b|0|D|0|D|0|D|0|D|0|D
01|35288|8610000US35288|35288(BIRMINGHAM,AL)||00|Total for all sectors||2012|1||0|a|0|D|0|D|0|D|0|D|0|D
01|35290|8610000US35290|35290(BIRMINGHAM,AL)||00|Total for all sectors||2012|1||0|a|0|D|0|D|0|D|0|D|0|D
01|35291|8610000US35291|35291(BIRMINGHAM,AL)||00|Total for all sectors||2012|3||0|b|0|D|0|D|0|D|0|D|0|D
01|35294|8610000US35294|35294(BIRMINGHAM,AL)||00|Total for all sectors||2012|14||0|c|0|D|0|D|0|D|0|D|0|D
01|35295|8610000US35295|35295(BIRMINGHAM,AL)||00|Total for all sectors||2012|1||0|c|0|D|0|D|0|D|0|D|0|D
01|35298|8610000US35298|35298(BIRMINGHAM,AL)||00|Total for all sectors||2012|3||0|b|0|D|0|D|0|D|0|D|0|D
01|35401|8610000US35401|35401(TUSCALOOSA,AL)||00|Total for all sectors||2012|1112||23730||0|G|220463||0|G|921987||0|G
01|35402|8610000US35402|35402(TUSCALOOSA,AL)||00|Total for all sectors||2012|22||0|f|0|D|0|D|0|D|0|D|0|D
01|35403|8610000US35403|35403(TUSCALOOSA,AL)||00|Total for all sectors||2012|56||1377||0|G|9101||0|G|36671||0|G
01|35404|8610000US35404|35404(TUSCALOOSA,AL)||00|Total for all sectors||2012|405||7568||0|G|59408||0|G|250333||0|G
01|35405|8610000US35405|35405(TUSCALOOSA,AL)||00|Total for all sectors||2012|696||10661||0|G|65339||0|G|268875||0|G
01|35406|8610000US35406|35406(TUSCALOOSA,AL)||00|Total for all sectors||2012|397||5473||0|G|56848||0|G|244226||0|G
01|35407|8610000US35407|35407(TUSCALOOSA,AL)||00|Total for all sectors||2012|11||0|c|0|D|0|D|0|D|0|D|0|D
01|35441|8610000US35441|35441(AKRON,AL)||00|Total for all sectors||2012|3||12||0|G|34||0|G|203||0|G
01|35442|8610000US35442|35442(ALICEVILLE,AL)||00|Total for all sectors||2012|80||998||0|G|6677||0|G|30273||0|G
01|35443|8610000US35443|35443(BOLIGEE,AL)||00|Total for all sectors||2012|11||0|b|0|S|731||0|H|4000||0|H
01|35444|8610000US35444|35444(BROOKWOOD,AL)||00|Total for all sectors||2012|63||2499||0|G|50731||0|G|199883||0|G
01|35446|8610000US35446|35446(BUHL,AL)||00|Total for all sectors||2012|15||59||0|G|474||0|G|1885||0|G
01|35447|8610000US35447|35447(CARROLLTON,AL)||00|Total for all sectors||2012|51||669||0|H|4554||0|H|16958||0|H
01|35448|8610000US35448|35448(CLINTON,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35449|8610000US35449|35449(COALING,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35452|8610000US35452|35452(COKER,AL)||00|Total for all sectors||2012|33||138||0|G|725||0|G|3246||0|G
01|35453|8610000US35453|35453(COTTONDALE,AL)||00|Total for all sectors||2012|159||2364||0|G|20999||0|G|88699||0|G
01|35456|8610000US35456|35456(DUNCANVILLE,AL)||00|Total for all sectors||2012|40||398||0|G|2942||0|G|11437||0|G
01|35457|8610000US35457|35457(ECHOLA,AL)||00|Total for all sectors||2012|1||0|a|0|D|0|D|0|D|0|D|0|D
01|35459|8610000US35459|35459(EMELLE,AL)||00|Total for all sectors||2012|14||0|c|0|D|0|D|0|D|0|D|0|D
01|35460|8610000US35460|35460(EPES,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35461|8610000US35461|35461(ETHELSVILLE,AL)||00|Total for all sectors||2012|11||24||0|H|89||0|G|408||0|G
01|35462|8610000US35462|35462(EUTAW,AL)||00|Total for all sectors||2012|78||1084||0|G|7867||0|G|31949||0|G
01|35463|8610000US35463|35463(FOSTERS,AL)||00|Total for all sectors||2012|10||36||0|H|156||0|G|765||0|G
01|35464|8610000US35464|35464(GAINESVILLE,AL)||00|Total for all sectors||2012|6||0|b|0|S|0|S|0|S|631||0|H
01|35466|8610000US35466|35466(GORDO,AL)||00|Total for all sectors||2012|65||421||0|G|2268||0|G|9632||0|G
01|35469|8610000US35469|35469(KNOXVILLE,AL)||00|Total for all sectors||2012|7||23||0|G|185||0|G|1040||0|G
01|35470|8610000US35470|35470(LIVINGSTON,AL)||00|Total for all sectors||2012|114||1307||0|H|9897||0|G|42483||0|G
01|35471|8610000US35471|35471(MC SHAN,AL)||00|Total for all sectors||2012|2||0|b|0|D|0|D|0|D|0|D|0|D
01|35473|8610000US35473|35473(NORTHPORT,AL)||00|Total for all sectors||2012|192||1605||0|G|11761||0|G|51964||0|G
01|35474|8610000US35474|35474(MOUNDVILLE,AL)||00|Total for all sectors||2012|65||898||0|H|8024||0|H|33263||0|H
01|35475|8610000US35475|35475(NORTHPORT,AL)||00|Total for all sectors||2012|141||928||0|H|5416||0|H|24490||0|H
01|35476|8610000US35476|35476(NORTHPORT,AL)||00|Total for all sectors||2012|454||7408||0|G|51609||0|G|213964||0|G
01|35477|8610000US35477|35477(PANOLA,AL)||00|Total for all sectors||2012|1||0|a|0|D|0|D|0|D|0|D|0|D
01|35478|8610000US35478|35478(PETERSON,AL)||00|Total for all sectors||2012|3||0|a|0|S|0|S|0|S|67||0|H
01|35480|8610000US35480|35480(RALPH,AL)||00|Total for all sectors||2012|15||39||0|G|230||0|G|1119||0|G
01|35481|8610000US35481|35481(REFORM,AL)||00|Total for all sectors||2012|69||561||0|G|4060||0|G|16241||0|G
01|35486|8610000US35486|35486(TUSCALOOSA,AL)||00|Total for all sectors||2012|9||0|b|0|S|0|S|0|S|939||0|H
01|35487|8610000US35487|35487(TUSCALOOSA,AL)||00|Total for all sectors||2012|17||0|f|0|D|0|D|0|D|0|D|0|D
01|35490|8610000US35490|35490(VANCE,AL)||00|Total for all sectors||2012|61||4659||0|H|88427||0|H|344230||0|H
01|35501|8610000US35501|35501(JASPER,AL)||00|Total for all sectors||2012|641||8570||0|G|70937||0|G|291876||0|G
01|35502|8610000US35502|35502(JASPER,AL)||00|Total for all sectors||2012|32||357||0|G|3414||0|G|13039||0|G
01|35503|8610000US35503|35503(JASPER,AL)||00|Total for all sectors||2012|146||1219||0|G|7941||0|G|35441||0|G
01|35504|8610000US35504|35504(JASPER,AL)||00|Total for all sectors||2012|149||1383||0|G|9901||0|G|38934||0|G
01|35540|8610000US35540|35540(ADDISON,AL)||00|Total for all sectors||2012|48||0|g|0|D|0|D|0|D|0|D|0|D
01|35541|8610000US35541|35541(ARLEY,AL)||00|Total for all sectors||2012|43||166||0|G|915||0|G|3509||0|G
01|35542|8610000US35542|35542(BANKSTON,AL)||00|Total for all sectors||2012|6||39||0|G|150||0|G|676||0|G
01|35543|8610000US35543|35543(BEAR CREEK,AL)||00|Total for all sectors||2012|15||140||0|G|907||0|G|3610||0|G
01|35544|8610000US35544|35544(BEAVERTON,AL)||00|Total for all sectors||2012|3||5||0|G|74||0|G|392||0|G
01|35545|8610000US35545|35545(BELK,AL)||00|Total for all sectors||2012|11||211||0|H|1771||0|H|8109||0|H
01|35546|8610000US35546|35546(BERRY,AL)||00|Total for all sectors||2012|46||570||0|G|10450||0|G|37426||0|G
01|35548|8610000US35548|35548(BRILLIANT,AL)||00|Total for all sectors||2012|15||181||0|G|776||0|G|3222||0|G
01|35549|8610000US35549|35549(CARBON HILL,AL)||00|Total for all sectors||2012|47||392||0|G|2276||0|G|9698||0|G
